CPU,SingleCore,MultiCore,Core,Thread,Clock,MaxTDP
Core Ultra 9 285K,2601,43118,24,24,3.7-5.5 GHz,250 W
Ryzen 9 9950X,2243,42103,16,32,4.3-5.7 GHz,
Core i9 14900KF,2290,40616,24,32,3.2-6 GHz,253 W
Core i9 14900KS,2313,40421,24,32,3.2-6.2 GHz,253 W
Core i9 13900KS,2339,40404,24,32,3.2-6 GHz,253 W
Core i9 14900K,2293,40400,24,32,3.2-6 GHz,253 W
Core i9 13900KF,2262,39012,24,32,3.0-5.4 GHz,253 W
Core i9 13900,2191,38496,24,32,2.0-5.2 GHz,219 W
Core Ultra 7 265K,2250,37591,20,20,3.9-5.4 GHz,250 W
Core i9 13900K,2076,37486,24,32,3.0-5.4 GHz,253 W
Core Ultra 7 265KF,2204,37399,20,20,3.9-5.4 GHz,250 W
Ryzen 9 7950X,2009,36742,16,32,4.5-5.7 GHz,230 W
Core i9 14900F,2240,36660,24,32,2.0-5.8 GHz,219 W
Ryzen 9 7950X3D,2053,36291,16,32,4.2-5.7 GHz,162 W
Core i9 14900,2246,36010,24,32,2.0-5.8 GHz,219 W
Core i9 13900F,2008,35774,24,32,2.0-5.2 GHz,219 W
Core i7 14700KF,2160,35265,20,28,3.4-5.6 GHz,253 W
Core i7 14700K,2072,34895,20,28,3.4-5.6 GHz,253 W
Core i7 14700F,2098,33114,20,28,2.1-5.4 GHz,219 W
Ryzen 9 9900X,2232,33042,12,24,4.4-5.6 GHz,
Core i7 14700,2106,32772,20,28,2.1-5.4 GHz,219 W
Core i7 13700K,2082,30468,16,24,3.4-5.3 GHz,253 W
Core i7 13700KF,1978,30435,16,24,3.4-5.3 GHz,253 W
Ryzen 9 7900X,2016,29300,12,24,4.7-5.6 GHz,230 W
Ryzen 9 7900X3D,2041,27817,12,24,4.4-5.6 GHz,162 W
Core i9 12900K,1995,27341,16,24,"3,2-5.1 GHz",
Core i9 12900KF,1959,27341,16,24,3.2-5.1 GHz,241 W
