VideoCard,AvgOPS-Sec
GeForce RTX 4090,"27,999"
RTX 6000 Ada Generation,"23,793"
GeForce RTX 4080,"21,476"
GeForce RTX 4080 SUPER,"20,535"
GeForce RTX 4070 Ti SUPER,"19,044"
GeForce RTX 4070 Ti,"18,959"
RTX 5000 Ada Generation,"18,307"
Radeon RX 7900 XTX,"18,244"
GeForce RTX 4070 SUPER,"17,805"
RTX 4500 Ada Generation,"17,805"
GeForce RTX 3090 Ti,"17,428"
Radeon RX 7900 XT,"17,399"
GeForce RTX 3090,"15,960"
GeForce RTX 3080 Ti,"15,897"
Radeon PRO W7900,"15,640"
GeForce RTX 3080 12GB,"15,573"
Radeon RX 7900 GRE,"15,312"
Radeon RX 6900 XT,"15,175"
GeForce RTX 4070,"15,022"
GeForce RTX 3080,"14,943"
Radeon RX 6950 XT,"14,861"
RTX A6000,"14,645"
Radeon PRO W7800,"14,637"
Radeon RX 6800 XT,"13,797"
Radeon RX 7800 XT,"13,628"
RTX A5500,"13,178"
Radeon RX 7700 XT,"12,961"
RTX A5000,"12,737"
GeForce RTX 4090 Laptop GPU,"12,606"
RTX 4000 Ada Generation,"12,553"
GeForce RTX 4060 Ti,"12,477"
GeForce RTX 4060 Ti 16GB,"12,377"
GeForce RTX 3070 Ti,"12,006"
RTX A4500,"11,962"
Radeon PRO W6800,"11,766"
GeForce RTX 4080 Laptop GPU,"11,578"
GeForce RTX 3070,"11,547"
NVIDIA A10G,"11,440"
Radeon RX 6800,"11,362"
Radeon PRO W7700,"10,774"
TITAN V CEO Edition,"10,571"
GeForce RTX 2080 Ti,"10,380"
RTX 4000 SFF Ada Generation,"10,287"
GeForce RTX 3060 Ti,"10,258"
TITAN RTX,"10,166"
RTX A4000,"10,114"
Radeon RX 6750 XT,"9,983"
Radeon RX 7900M,"9,979"
Quadro RTX 6000,"9,937"
Quadro RTX 8000,"9,859"
Radeon RX 6700 XT,"9,745"
GeForce GTX 1080 Ti,"9,718"
TITAN Xp COLLECTORS EDITION,"9,638"
TITAN V,"9,606"
NVIDIA TITAN Xp,"9,556"
GeForce RTX 4060,"9,339"
Radeon RX 7600 XT,"9,278"
NVIDIA TITAN X,"9,224"
RTX 4000 Ada Generation Laptop GPU,"9,189"
RTX 5000 Ada Generation Laptop GPU,"9,155"
Quadro GV100,"9,119"
NVIDIA A40,"9,014"
Radeon RX 6750 GRE 12GB,"8,986"
Radeon RX 7600,"8,848"
GeForce RTX 3080 Ti Laptop GPU,"8,746"
Quadro P6000,"8,707"
GeForce RTX 3060 12GB,"8,607"
TITAN RTX,"8,579"
RTX 2000 Ada Generation,"8,565"
GeForce RTX 2080 SUPER,"8,501"
Radeon RX 6700,"8,465"
GeForce RTX 4070 Laptop GPU,"8,342"
GeForce RTX 3060 8GB,"8,312"
Radeon PRO W7600,"8,272"
GeForce RTX 2080,"8,075"
Radeon RX 5700 XT 50th Anniversary,"8,014"
Radeon RX 6650 XT,"7,912"
Radeon RX 5700 XT,"7,910"
Radeon RX 6600 XT,"7,903"
GeForce RTX 2070 SUPER,"7,752"
GeForce RTX 3070 Ti Laptop GPU,"7,695"
Radeon VII,"7,655"
GeForce GTX 1080,"7,633"
Radeon PRO W6600,"7,630"
Radeon Pro Vega II,"7,598"
RTX A5500 Laptop GPU,"7,553"
GeForce RTX 3080 Laptop GPU,"7,474"
Quadro GP100,"7,404"
GeForce GTX 1070 Ti,"7,205"
RTX A5000 Laptop GPU,"7,147"
RTX 3500 Ada Generation Laptop GPU,"7,142"
RTX A4500 Laptop GPU,"7,066"
Quadro RTX 5000,"7,046"
Radeon VII,"7,031"
GeForce RTX 3070 Laptop GPU,"6,972"
Radeon Pro W5700,"6,910"
Radeon RX 6600,"6,903"
GeForce RTX 2060 12GB,"6,889"
GeForce RTX 2060 SUPER,"6,864"
GeForce RTX 4060 Laptop GPU,"6,779"
RTX A4000 Laptop GPU,"6,769"
Radeon RX 7700S,"6,737"
Radeon RX 5700,"6,726"
GeForce RTX 3050 8GB,"6,654"
RTX A2000 12GB,"6,645"
Radeon RX 6850M XT,"6,602"
RTX A2000,"6,567"
Quadro P5000,"6,553"
Radeon RX 5600 XT,"6,553"
GeForce RTX 2080 (Mobile),"6,528"
Radeon PRO W7500,"6,523"
GeForce RTX 2070,"6,521"
Radeon RX Vega 64,"6,454"
Quadro RTX 4000,"6,333"
RTX 3000 Ada Generation Laptop GPU,"6,319"
Intel Arc A770,"6,207"
Radeon RX 6800S,"6,191"
GeForce GTX 980 Ti,"6,171"
GeForce GTX 1070,"6,107"
Radeon RX 7600S,"6,070"
Quadro RTX 5000 (Mobile),"6,068"
Radeon RX 6700S,"6,049"
Radeon RX 6650M,"5,994"
Radeon RX Vega 56,"5,958"
GeForce RTX 2070 (Mobile),"5,909"
GeForce GTX 1070 (Mobile),"5,894"
Radeon Pro 5700 XT,"5,889"
GeForce RTX 4050 Laptop GPU,"5,886"
Radeon Pro WX 8200,"5,860"
GeForce RTX 3050 OEM,"5,800"
GeForce RTX 3060 Laptop GPU,"5,798"
Radeon Vega Frontier Edition,"5,795"
Radeon RX 6600M,"5,781"
GeForce GTX 1080 with Max-Q Design,"5,776"
GeForce GTX TITAN X,"5,751"
RTX A3000 12GB Laptop GPU,"5,686"
Radeon RX 7600M XT,"5,679"
Radeon Pro Vega 64,"5,608"
RTX A3000 Laptop GPU,"5,587"
RTX 2000 Ada Generation Laptop GPU,"5,579"
GeForce RTX 2060,"5,576"
Radeon Pro V520 MxGPU,"5,567"
Quadro M6000,"5,552"
Intel Arc A750,"5,496"
Radeon Pro VII,"5,449"
Quadro M6000,"5,387"
RTX 1000 Ada Generation Laptop GPU,"5,377"
Radeon RX 5600,"5,363"
Radeon Pro WX 9100,"5,356"
Radeon RX 6700M,"5,355"
Quadro P4200,"5,333"
GeForce RTX 2060 (Mobile),"5,310"
GeForce GTX 1660 Ti,"5,309"
Quadro M6000 24GB,"5,301"
RadeonT RX 6850M XT,"5,290"
Quadro P3200 with Max-Q Design,"5,266"
Quadro P5200,"5,258"
Quadro RTX 5000 (Mobile),"5,242"
GeForce RTX 2070 with Max-Q Design,"5,237"
Radeon Pro Duo,"5,222"
GeForce GTX 1660 Ti (Mobile),"5,196"
Tesla P100-PCIE-16GB,"5,171"
GeForce RTX 3050 6GB,"5,165"
GeForce GTX 1660 SUPER,"5,161"
Radeon Pro W5500,"5,160"
Radeon Pro Vega 56,"5,134"
Intel Arc A580,"5,120"
GeForce RTX 2070 Super with Max-Q Design,"5,088"
Quadro P4200 with Max-Q Design,"5,083"
Radeon RX 6800M,"5,055"
GeForce GTX 1660,"5,039"
Intel Arc A770M,"5,034"
Quadro P4000,"4,998"
GeForce RTX 2080 Super with Max-Q Design,"4,916"
Tesla V100-PCIE-16GB,"4,857"
Quadro RTX 5000 with Max-Q Design,"4,821"
GeForce GTX 980,"4,790"
Tesla T4,"4,771"
GeForce RTX 2080 with Max-Q Design,"4,744"
Quadro P5200 with Max-Q Design,"4,709"
Radeon RX 6500 XT,"4,708"
GeForce RTX 3050 6GB Laptop GPU,"4,680"
Radeon RX 5500 XT,"4,629"
RTX A1000 6GB Laptop GPU,"4,618"
RTX A2000 8GB Laptop GPU,"4,594"
GeForce GTX 1070 (Mobile),"4,587"
Radeon RX 5600 OEM,"4,580"
Quadro RTX 4000 (Mobile),"4,561"
Tesla P40,"4,527"
GeForce GTX 1650 SUPER,"4,514"
GeForce RTX 2070 (Mobile),"4,495"
Quadro RTX 4000 with Max-Q Design,"4,478"
Quadro P2200,"4,476"
RTX A2000 Laptop GPU,"4,463"
Radeon Pro SSG,"4,404"
Quadro P5200 with Max-Q Design,"4,378"
GeForce GTX 1060 (Mobile),"4,369"
Quadro P4200 with Max-Q Design,"4,367"
Radeon R9 Fury + Fury X,"4,355"
RTX 500 Ada Generation Laptop GPU,"4,322"
GeForce RTX 3050 Ti Laptop GPU,"4,308"
GeForce GTX 1060,"4,296"
Radeon RX 5500,"4,214"
GeForce GTX 1060 5GB,"4,189"
Radeon R9 Fury X,"4,168"
Quadro P4200,"4,162"
Radeon Pro 580,"4,162"
Radeon R9 Fury,"4,154"
A10-8Q,"4,147"
Radeon RX 5300,"4,133"
GeForce GTX Titan,"4,127"
Radeon Pro 5500 XT,"4,121"
GeForce GTX 1650 (Mobile),"4,115"
GeForce GTX 1060 3GB,"4,113"
GeForce GTX 780 Ti,"4,108"
GeForce GTX 970,"4,091"
GeForce RTX 2070 with Max-Q Design,"4,030"
Radeon Pro 5600M,"4,016"
GeForce RTX 2060 (Mobile),"3,989"
Quadro M5000,"3,986"
Radeon R9 390,"3,986"
Radeon RX 590,"3,986"
Radeon Pro Vega 48,"3,979"
Radeon 780M,"3,958"
Quadro P2200,"3,952"
Quadro RTX 3000,"3,942"
GeForce GTX 1060 with Max-Q Design,"3,912"
Tesla M40,"3,892"
RTX A1000 Laptop GPU,"3,886"
Radeon RX 470/570,"3,852"
Quadro M5500,"3,848"
RadeonT 780M,"3,835"
GeForce RTX 3050 Laptop GPU,"3,830"
Radeon Pro 580X,"3,805"
Radeon Ryzen 7 PRO 6860Z,"3,800"
Quadro P3200 with Max-Q Design,"3,783"
GeForce GTX TITAN Black,"3,766"
Radeon RX 580X,"3,759"
Quadro T2000,"3,736"
GeForce GTX 1660 Ti (Mobile),"3,686"
Quadro P2000,"3,673"
